FRANODEID,ECCENTRICITY,EFFICIENCY,LATITUDE,LONGITUDE
301206,1423,0.002891375,44.21869613,-123.2011782
301210,1424,0.002789017,44.21751082,-123.2011147
301211,1424,0.00271309,44.21068917,-123.2009808
301213,1423,0.002831068,44.21350628,-123.2008999
301216,1422,0.002930991,44.19724136,-123.2000742
301222,1422,0.00279043,44.17557093,-123.1991488
301226,1421,0.002966545,44.17722792,-123.1975963
301228,1421,0.00292702,44.17438418,-123.1964302
301234,1420,0.003017059,44.17236602,-123.1950673
301279,1424,0.002850404,44.2472431,-123.1760939
301284,1438,0.00227558,44.06007907,-123.1729526
301305,1437,0.002347702,44.06049893,-123.168783
301310,1436,0.00237707,44.06058774,-123.167901
301312,1427,0.002713972,44.27478853,-123.1677422
301314,1425,0.002846442,44.26581881,-123.1676727
301316,1426,0.002834762,44.27251836,-123.1676513
301317,1426,0.002724051,44.26761242,-123.1673984
301318,1419,0.003090903,44.1192205,-123.1673597
301324,1439,0.002397534,44.3747134,-123.1662547
301325,1438,0.002468655,44.37515057,-123.1661755
301327,1438,0.002447768,44.37494567,-123.1660137
301328,1437,0.002544334,44.37623969,-123.165978
301329,1436,0.002608165,44.37764255,-123.1658546
301330,1437,0.002552166,44.37807172,-123.1658433
301332,1438,0.002493719,44.3798715,-123.1657686
301341,1435,0.002419021,44.06074204,-123.1645432
301345,1438,0.002451945,44.37910168,-123.164164
301347,1438,0.00227558,44.06095908,-123.1639107
301349,1435,0.00263501,44.37888332,-123.1633946
301352,1435,0.002609423,44.37891854,-123.1630247
301353,1435,0.002381947,44.06077723,-123.162953
301360,1436,0.002507908,44.37912516,-123.1610276
301363,1434,0.002479645,44.06070474,-123.1607645
301364,1434,0.002405273,44.0608637,-123.1607485
301370,1439,0.002407978,44.38136741,-123.1601339
301371,1434,0.00242064,44.06053179,-123.1601031
301372,1439,0.002407978,44.38304141,-123.1599636
301375,1434,0.002405273,44.06118035,-123.1594523
301376,1434,0.002586267,44.38135597,-123.158768
301377,1420,0.002993784,44.1018833,-123.1585395
301378,1421,0.002908826,44.10154455,-123.1584658
301380,1422,0.002899804,44.1010264,-123.1583461
301381,1433,0.002502806,44.06072636,-123.1583378
301383,1433,0.00252884,44.060677,-123.1582055
301384,1427,0.002814006,44.2861282,-123.1581623
301388,1431,0.00251788,44.06047838,-123.1554138
301389,1432,0.002581567,44.06064847,-123.1553821
301391,1431,0.002618001,44.06064179,-123.1548543
301392,1434,0.002667875,44.37892199,-123.1547096
301394,1430,0.00254789,44.06046057,-123.1534316
301395,1432,0.002534869,44.06117272,-123.1532147
301396,1430,0.002639929,44.06061699,-123.1525798
301397,1433,0.002434016,44.06160255,-123.1524581
301398,1435,0.002501234,44.38242044,-123.1523552
301399,1434,0.002578136,44.3816526,-123.1523453
301401,1429,0.002671922,44.0606125,-123.1519608
301402,1433,0.00270545,44.37893809,-123.1518934
301403,1428,0.002711817,44.06060522,-123.1509573
301404,1433,0.002434016,44.06182948,-123.1509482
301406,1433,0.002652077,44.37898514,-123.1505532
301407,1432,0.002750037,44.37894613,-123.1501431
301408,1429,0.002565226,44.06043514,-123.1500949
301410,1422,0.002870182,44.08371182,-123.1492647
301411,1421,0.002957449,44.08340496,-123.1491055
301412,1420,0.003025708,44.08312611,-123.148963
301413,1421,0.002966073,44.08284859,-123.1488205
301415,1419,0.003114507,44.08260204,-123.1486302
301418,1420,0.00305175,44.08211322,-123.1483787
301419,1421,0.002993201,44.08189564,-123.1482238
301421,1422,0.002915185,44.08120269,-123.1480761
301422,1422,0.002936036,44.0816534,-123.1480567
301425,1423,0.002835769,44.08117836,-123.1477209
301427,1428,0.002683386,44.06052543,-123.1476295
301430,1427,0.002761454,44.06055604,-123.1463651
301433,1422,0.00292447,44.08067501,-123.1462218
301435,1423,0.002873962,44.07979088,-123.1450786
301436,1430,0.002490899,44.05640114,-123.1439966
301437,1424,0.002780886,44.07886104,-123.1438591
301439,1429,0.002548505,44.05760425,-123.1436139
301440,1423,0.00287102,44.0786412,-123.1434571
301441,1418,0.003160348,44.07860971,-123.1428599
301443,1424,0.002808995,44.07804777,-123.1425775
301444,1425,0.002697087,44.07788385,-123.1423677
301445,1430,0.002490899,44.05643167,-123.1423318
301446,1424,0.002834218,44.07704486,-123.1414806
301447,1423,0.002802505,44.07747975,-123.1414758
301448,1423,0.002766736,44.07452051,-123.1414682
301449,1429,0.002590279,44.05643675,-123.1410885
301450,1425,0.002654706,44.07657484,-123.1410742
301454,1428,0.002665133,44.05845251,-123.1396971
301455,1428,0.002607694,44.06016808,-123.1385843
301456,1423,0.002888356,44.07233418,-123.1383442
301457,1428,0.002821203,44.3020818,-123.1381172
301461,1427,0.002739853,44.06035756,-123.1365139
301462,1429,0.002575291,44.05545254,-123.1363531
301463,1426,0.002827452,44.06044022,-123.1358825
301464,1423,0.002703408,44.07215241,-123.1352128
301466,1423,0.002703408,44.0722062,-123.1351382
301467,1426,0.00279845,44.05859977,-123.1348929
301472,1427,0.002656849,44.05766546,-123.1340699
301473,1427,0.002745144,44.05721271,-123.1335432
301474,1428,0.002702992,44.05701092,-123.1333433
301478,1429,0.002671719,44.05667008,-123.1330094
301479,1431,0.002505102,44.05363248,-123.1329002
301481,1430,0.002585819,44.05649881,-123.1327672
301482,1428,0.002612609,44.05680404,-123.1327602
301483,1430,0.002623241,44.05640046,-123.1327508
301484,1425,0.002869279,44.06041345,-123.1327152
301485,1431,0.002582309,44.05612744,-123.1324874
301487,1431,0.002481779,44.05635806,-123.132391
301488,1432,0.002544677,44.05589174,-123.1322523
301489,1431,0.002481779,44.05591717,-123.1321394
301491,1422,0.00283171,44.07025106,-123.1320129
301494,1421,0.002950433,44.07000349,-123.1315015
301495,1424,0.002744242,44.06756996,-123.1312999
301496,1432,0.002470081,44.05464535,-123.1311283
301497,1433,0.002437168,44.05480137,-123.1311142
301499,1422,0.00288085,44.06972814,-123.1308873
301500,1433,0.002508184,44.05435029,-123.1308814
301501,1434,0.002470956,44.05307335,-123.1307662
301502,1435,0.002372954,44.05232379,-123.1307074
301504,1434,0.002405162,44.05350069,-123.1306745
301507,1423,0.002859922,44.06941538,-123.130218
301508,1435,0.002430393,44.05047868,-123.1301101
301512,1425,0.002736568,44.06674056,-123.1299362
301514,1423,0.002920041,44.06915356,-123.1296554
301522,1425,0.002719231,44.06024799,-123.1289936
301523,1427,0.002610587,44.067747,-123.1289856
301524,1436,0.002339151,44.0501819,-123.1288545
301527,1424,0.002866005,44.06871041,-123.1285586
301531,1428,0.002562035,44.06653201,-123.1276255
301532,1424,0.00286606,44.06035677,-123.1275981
301533,1427,0.002674814,44.06649974,-123.1274795
301534,1423,0.00294621,44.06810849,-123.1274145
301536,1426,0.002667699,44.0666681,-123.1271507
301540,1425,0.002753753,44.06532387,-123.1267128
301543,1422,0.002955148,44.06763188,-123.1265225
301544,1426,0.002743936,44.06609989,-123.1265125
301545,1428,0.002552636,44.06558498,-123.1264191
301546,1428,0.002552636,44.06570003,-123.1262673
301547,1423,0.002904185,44.0676179,-123.1262158
301549,1426,0.00273297,44.06590346,-123.1260591
301550,1424,0.002695867,44.06765213,-123.1260079
301551,1423,0.002873935,44.06033832,-123.1258091
301553,1425,0.002802529,44.06570844,-123.1257439
301556,1424,0.002882296,44.06409115,-123.1254589
301557,1436,0.002380924,44.05010389,-123.1253156
301558,1423,0.002774716,44.06723771,-123.1251083
301560,1427,0.002658627,44.0647151,-123.1246328
301561,1422,0.002847455,44.06693294,-123.1244468
301562,1437,0.002301412,44.05013671,-123.1242753
301563,1423,0.002792133,44.06647275,-123.1242609
301565,1426,0.002743936,44.06453691,-123.1240335
301566,1424,0.002908314,44.06390978,-123.1239014
301567,1422,0.002909276,44.06653249,-123.1238552
301568,1422,0.002931632,44.06031399,-123.1238329
301569,1437,0.002301412,44.05009371,-123.1237143
301572,1421,0.002926426,44.06625541,-123.1232914
301578,1420,0.002974336,44.06588248,-123.1226941
301579,1425,0.002821327,44.06454954,-123.1226773
301581,1421,0.002942483,44.06552265,-123.1222353
301582,1424,0.002903266,44.06452569,-123.1221032
301586,1423,0.002672153,44.06018538,-123.1216598
301587,1423,0.002672153,44.06012927,-123.1215176
301588,1422,0.00275048,44.05999577,-123.1213378
301589,1421,0.003003305,44.06028948,-123.1213156
301590,1420,0.003014688,44.06473269,-123.1209791
301591,1422,0.003007008,44.06032721,-123.1207119
301593,1421,0.003023981,44.06438075,-123.1204182
301594,1423,0.002777263,44.06049263,-123.1203578
301595,1419,0.003057807,44.06436624,-123.1202492
301596,1432,0.002655226,44.37735257,-123.120155
301597,1420,0.00308664,44.06417326,-123.1200782
301598,1418,0.003147564,44.06419793,-123.1199675
301599,1417,0.00317181,44.06403387,-123.1195815
301600,1422,0.002792253,44.06015249,-123.1194651
301601,1419,0.003126424,44.06381777,-123.1193698
301603,1421,0.003051956,44.06362479,-123.1192068
301604,1423,0.002985966,44.0635584,-123.1191913
301605,1422,0.003040816,44.06339903,-123.1189251
301606,1421,0.003052166,44.0631364,-123.1185065
301607,1431,0.002783735,44.37724557,-123.1181218
301608,1421,0.002895024,44.06005575,-123.1177506
301610,1420,0.0030644,44.06173763,-123.1161944
301611,1420,0.003011202,44.05999384,-123.1161703
301612,1422,0.002776877,44.06026857,-123.1159772
301613,1421,0.00279074,44.0603092,-123.1159503
301614,1419,0.003103809,44.0612016,-123.1151783
301618,1421,0.002929449,44.05970556,-123.1141661
301619,1420,0.002944123,44.05961849,-123.1138683
301622,1419,0.003039282,44.05952562,-123.1136027
301624,1434,0.002542895,44.61551736,-123.1129973
301628,1418,0.003095722,44.05860477,-123.1105319
301630,1436,0.002601198,44.54108855,-123.1085491
301631,1433,0.002596182,44.61030128,-123.1085181
301632,1434,0.002542895,44.61520131,-123.1085035
301633,1432,0.002707162,44.61858358,-123.1084961
301634,1433,0.002637956,44.61656859,-123.1084878
301635,1431,0.002775129,44.61915065,-123.1084267
301636,1430,0.002767576,44.61981366,-123.1084216
301637,1432,0.002742117,44.60072645,-123.1084121
301638,1434,0.00264012,44.46121988,-123.1084083
301639,1435,0.002706144,44.53913358,-123.1083933
301640,1436,0.002601198,44.5411721,-123.1083894
301641,1433,0.002740753,44.57883901,-123.1083747
301642,1433,0.002688096,44.38228595,-123.1083535
301643,1433,0.00279539,44.4619449,-123.1083317
301644,1433,0.002752729,44.45740715,-123.1083275
301645,1433,0.002614343,44.38102873,-123.1083247
301646,1434,0.002767844,44.55591128,-123.1083212
301647,1432,0.00272615,44.38202377,-123.1083161
301648,1432,0.002807787,44.4402947,-123.1083117
301649,1434,0.002791657,44.53761878,-123.1082722
301650,1431,0.00282912,44.38601398,-123.1082375
301651,1432,0.002729454,44.38566911,-123.1082366
301652,1430,0.002829442,44.37625254,-123.1082349
301653,1431,0.002807893,44.38062242,-123.1082349
301654,1429,0.002861285,44.36828565,-123.1082307
301656,1430,0.002848557,44.38099265,-123.1081774
301657,1435,0.00264983,44.55895251,-123.1081527
301659,1431,0.002686585,44.62206425,-123.1081081
301660,1432,0.002584248,44.62233,-123.10799
301661,1431,0.002538991,44.62277246,-123.107879
301662,1432,0.002584248,44.62313776,-123.1078131
301663,1430,0.002657774,44.623521,-123.1076091
301665,1430,0.002696563,44.62421016,-123.1072895
301666,1431,0.00266599,44.62452336,-123.1070755
301669,1432,0.002610016,44.62473074,-123.1069449
301670,1432,0.002641271,44.62471666,-123.1069037
301672,1433,0.002541863,44.62552681,-123.1064447
301673,1433,0.002593708,44.62520134,-123.1063351
301674,1434,0.002462858,44.62603539,-123.1061458
301676,1434,0.002524189,44.62585624,-123.1055504
301679,1435,0.002475635,44.62623609,-123.105122
301681,1436,0.00238637,44.62666469,-123.1045689
301683,1435,0.002491747,44.62791012,-123.1037311
301692,1429,0.002731324,44.62978171,-123.1033
301693,1434,0.0025544,44.6286261,-123.1032627
301694,1433,0.002567189,44.62889669,-123.1030203
301698,1432,0.00259435,44.62930442,-123.102655
301699,1434,0.002463853,44.62991435,-123.1026451
301700,1419,0.002799416,44.05650584,-123.1026419
301701,1419,0.002799416,44.05644924,-123.1025171
301702,1431,0.002655472,44.62962443,-123.1023683
301704,1418,0.002940695,44.05645069,-123.1021066
301705,1433,0.002543169,44.63035057,-123.1020554
301708,1432,0.002611806,44.63066644,-123.1016034
301710,1431,0.002672704,44.63085971,-123.1013328
301711,1417,0.003076631,44.05643618,-123.1011789
301713,1430,0.002712751,44.63138743,-123.1006055
301717,1433,0.002553873,44.63081601,-123.1000689
301718,1429,0.002734832,44.63187481,-123.0999465
301719,1428,0.002745041,44.6320395,-123.0996594
301723,1429,0.002685113,44.63227647,-123.0992969
301735,1416,0.003119042,44.05615197,-123.0984164
301738,1428,0.002693097,44.63284787,-123.0981342
301740,1416,0.003087452,44.05604002,-123.0980358
301741,1434,0.002433654,44.63112357,-123.09784
301742,1429,0.002577198,44.6330445,-123.0977883
301748,1427,0.002647406,44.63331171,-123.0971622
301750,1432,0.002600616,44.63100088,-123.096901
301752,1428,0.002722704,44.63358352,-123.0967052
301758,1427,0.002729425,44.63371144,-123.0963346
301762,1433,0.002528063,44.63105237,-123.0959149
301763,1427,0.002760604,44.6337621,-123.0958183
301767,1426,0.002776619,44.634073,-123.0950369
301771,1426,0.002752092,44.63496673,-123.0926979
301772,1434,0.002433654,44.63044606,-123.0925713
301773,1425,0.002803987,44.63515324,-123.0921576
301774,1424,0.002763802,44.63547058,-123.0911764
301777,1415,0.003065639,44.05502891,-123.0901127
301856,1414,0.002981291,44.04803143,-123.0638613
301863,1423,0.002766042,44.65918983,-123.0626583
301865,1422,0.002768148,44.66126445,-123.0619253
301866,1423,0.002698969,44.66164702,-123.06169
301867,1422,0.002723241,44.66236002,-123.0615945
301869,1424,0.002629162,44.6622681,-123.0610596
301872,1425,0.002533904,44.66298697,-123.0607752
301873,1425,0.002533904,44.66297474,-123.0607135
301874,1421,0.002751233,44.66480411,-123.0606747
301875,1424,0.002587388,44.66435133,-123.0606724
301876,1420,0.0027431,44.66633182,-123.0601349
301878,1419,0.002716032,44.66806818,-123.0595003
301884,1419,0.002685462,44.67427043,-123.0572886
301885,1420,0.002703541,44.67464101,-123.0572346
301886,1421,0.002619938,44.67489607,-123.0571526
301888,1422,0.00255482,44.67907789,-123.0556482
301890,1423,0.002484015,44.68042074,-123.0551816
301892,1418,0.002708616,44.68917024,-123.0538098
301896,1413,0.002932147,44.04027329,-123.0449076
301899,1412,0.002903884,44.03993194,-123.044409
301916,1411,0.00289483,44.04015852,-123.0342846
301927,1412,0.002799016,44.92735402,-123.0279005
301928,1413,0.002768495,44.93235493,-123.0278958
301929,1412,0.002772182,44.92656904,-123.0278441
301930,1413,0.002762679,44.92701154,-123.0278235
301931,1413,0.002734916,44.92617963,-123.0278112
301932,1415,0.002562257,44.93034856,-123.0278042
301933,1414,0.002654536,44.92959122,-123.0277852
301934,1414,0.002711581,44.92582096,-123.0277651
301935,1415,0.002687224,44.92540543,-123.0277127
301936,1415,0.002654411,44.92504457,-123.0276727
301937,1417,0.002517908,44.92574879,-123.027645
301938,1418,0.002441772,44.92202641,-123.0276234
301939,1416,0.002599521,44.92459186,-123.0276204
301940,1416,0.002633575,44.9249899,-123.0275896
301941,1417,0.002532556,44.92430973,-123.0275834
301942,1417,0.002591012,44.9247712,-123.0275311
301943,1418,0.002441772,44.92203297,-123.0275065
301944,1418,0.002522832,44.92453937,-123.0274603
301945,1415,0.002598052,44.91911963,-123.0273618
301946,1414,0.002657598,44.91884403,-123.0273495
301947,1413,0.002698434,44.91834971,-123.0273094
301948,1419,0.002432084,44.92209639,-123.0273064
301949,1412,0.002724869,44.91804787,-123.0272725
301950,1411,0.002764088,44.91723886,-123.0270737
301951,1416,0.002494517,44.91999015,-123.0269954
301952,1418,0.002522832,44.92416757,-123.0264351
301953,1410,0.002773172,44.04431992,-123.0258153
301954,1412,0.002705857,44.0430358,-123.024989
301955,1419,0.002432084,44.92413258,-123.0247605
301956,1412,0.002705857,44.04158424,-123.0244992
301957,1411,0.002820816,44.04364354,-123.0242323
301958,1411,0.002777391,44.91260342,-123.0240178
301959,1412,0.002649787,44.91035246,-123.0238769
301960,1410,0.002916285,44.04390507,-123.0237479
301961,1419,0.002432084,44.92213576,-123.0235568
301962,1419,0.002432084,44.92415882,-123.0234059
301963,1410,0.002794982,44.91147191,-123.0227444
301964,1409,0.002910284,44.04430689,-123.0226503
301965,1408,0.00291502,44.04440843,-123.0223729
301966,1407,0.00289753,44.04482613,-123.0204388
301969,1409,0.00281563,44.043302,-123.0195136
301970,1407,0.002694294,44.04468237,-123.0191936
301972,1410,0.002698915,44.04275453,-123.0190935
301973,1410,0.002698915,44.04291191,-123.0190146
301974,1406,0.002930237,44.04475381,-123.0190038
301982,1409,0.002754586,44.90853499,-123.0184753
301983,1405,0.0029033,44.04463106,-123.0183772
301986,1406,0.002820883,44.04451378,-123.0178996
301993,1410,0.002632986,44.90703984,-123.0168334
302000,1409,0.00272186,44.90658505,-123.0153561
302001,1416,0.002592551,44.95506626,-123.0152953
302005,1415,0.002698956,44.95934002,-123.0143879
302006,1414,0.002787908,44.95975835,-123.014188
302009,1417,0.002684875,44.71478656,-123.0137745
302012,1415,0.002787714,44.96127692,-123.0133142
302014,1404,0.002920449,44.04380034,-123.0125205
302019,1405,0.002943711,44.04375376,-123.011837
302021,1410,0.002610897,44.90450491,-123.011643
302023,1416,0.002592551,44.96156612,-123.0114834
302024,1405,0.00293456,44.04370029,-123.0114571
302026,1416,0.002753225,44.96506037,-123.0111371
302027,1406,0.002864638,44.04366595,-123.010986
